Source,Target,Type,Id,Label,Weight
p1,p256,Undirected,1,,4.0
p1,p508,Undirected,2,,2.0
p2,p299,Undirected,3,,2.0
p3,p83,Undirected,4,,2.0
p3,p115,Undirected,5,,1.0
p3,p133,Undirected,6,,1.0
p3,p149,Undirected,7,,2.0
p3,p277,Undirected,8,,2.0
p4,p5,Undirected,9,,4.0
p4,p54,Undirected,10,,2.0
p4,p101,Undirected,11,,4.0
p4,p218,Undirected,12,,2.0
p4,p225,Undirected,13,,2.0
p4,p239,Undirected,14,,2.0
p4,p348,Undirected,15,,2.0
p4,p396,Undirected,16,,4.0
p5,p35,Undirected,17,,2.0
p5,p46,Undirected,18,,4.0
p5,p74,Undirected,19,,2.0
p5,p83,Undirected,20,,2.0
p5,p268,Undirected,21,,2.0
p5,p271,Undirected,22,,2.0
p5,p314,Undirected,23,,2.0
p5,p326,Undirected,24,,2.0
p5,p366,Undirected,25,,2.0
p5,p554,Undirected,26,,2.0
p6,p459,Undirected,27,,4.0
p7,p11,Undirected,28,,2.0
p7,p32,Undirected,29,,2.0
p7,p53,Undirected,30,,2.0
p7,p299,Undirected,31,,2.0
p7,p330,Undirected,32,,2.0
p7,p519,Undirected,33,,2.0
p8,p342,Undirected,34,,2.0
p9,p58,Undirected,35,,2.0
p9,p117,Undirected,36,,2.0
p9,p172,Undirected,37,,2.0
p9,p218,Undirected,38,,2.0
p10,p190,Undirected,39,,2.0
p10,p203,Undirected,40,,2.0
p10,p405,Undirected,41,,2.0
p11,p52,Undirected,42,,2.0
p11,p90,Undirected,43,,2.0
p11,p99,Undirected,44,,2.0
p11,p108,Undirected,45,,2.0
p11,p231,Undirected,46,,2.0
p11,p293,Undirected,47,,2.0
p11,p295,Undirected,48,,2.0
p11,p510,Undirected,49,,2.0
p12,p366,Undirected,50,,2.0
p12,p439,Undirected,51,,2.0
p13,p19,Undirected,52,,4.0
p13,p58,Undirected,53,,2.0
p13,p105,Undirected,54,,2.0
p13,p268,Undirected,55,,2.0
p13,p500,Undirected,56,,4.0
p14,p19,Undirected,57,,2.0
p14,p33,Undirected,58,,2.0
