"rank","name","score","profession","age"
"1","Will Smith","10.00","Actor, Composer, Director, Producer, Rapper, Writer","43"
"2","Johnny Depp","9.89","Actor, Director, Producer, Singer (Cameo), Writer","49"
"2","Leonardo DiCaprio","9.89","Actor, Producer, Writer","37"
"2","Angelina Jolie","9.89","Actress, Director, Producer, Singer (Cameo)","37"
"2","Brad Pitt","9.89","Actor, Producer","48"
"6","Tom Hanks","9.87","Actor, Director, Producer, Singer (Cameo), Writer","56"
"7","George Clooney","9.81","Actor, Director, Producer, Writer","51"
"8","Denzel Washington","9.76","Actor","57"
"9","Matt Damon","9.69","Actor, Producer, Singer (Cameo), Writer","41"
"10","Jack Nicholson","9.68","Actor, Director, Producer, Singer (Cameo), Writer","75"
"11","Julia Roberts","9.65","Actress, Producer","44"
"12","Adam Sandler","9.61","Actor, Composer, Producer, Singer (Cameo), Writer","45"
"13","Tom Cruise","9.60","Actor, Director, Producer, Writer","50"
"14","Russell Crowe","9.57","Actor, Director, Musician, Producer, Singer, Writer","48"
"15","Will Ferrell","9.56","Actor, Producer, Singer (Cameo), Writer","45"
"16","Meryl Streep","9.55","Actress, Singer","63"
"17","Robert De Niro","9.54","Actor, Director, Producer","68"
"18","Ben Stiller","9.50","Actor, Director, Producer, Writer","46"
"19","Jim Carrey","9.42","Actor, Producer, Singer (Cameo), Writer","50"
"20","Clint Eastwood","9.33","Actor, Composer, Director, Producer, Writer","82"
"21","Robert Downey","9.29","Actor, Producer, Singer (Cameo), Writer","47"
"22","Nicole Kidman","9.27","Actress, Producer, Singer (Cameo)","45"
"23","Bruce Willis","9.16","Actor, Director, Musician, Producer","57"
"24","Nicolas Cage","9.02","Actor, Director, Producer, Singer (Cameo)","48"
"25","Al Pacino","9.00","Actor, Director, Producer, Writer","72"
"26","Harrison Ford","8.69","Actor, Producer","70"
"27","Keanu Reeves","8.59","Actor, Singer (Cameo)","47"
"28","Mel Gibson","8.52","Actor, Director, Producer, Singer (Cameo), Writer","56"
"29","Christian Bale","8.49","Actor, Producer, Singer (Cameo)","38"
"30","Tobey Maguire","8.48","Actor, Producer","37"
"31","John Travolta","8.47","Actor","58"
"32","Vince Vaughn","8.39","Actor","42"
"33","Shia LaBeouf","8.38","Actor, Director, Producer, Singer (Cameo), Writer","26"
"34","Reese Witherspoon","8.24","Actress, Producer","36"
"35","Jackie Chan","8.12","Actor, Director, Producer, Singer (Cameo), Writer","58"
"36","Steve Carell","8.05","Actor, Producer, Singer (Cameo), Writer","49"
"36","Daniel Day-Lewis","8.05","Actor","55"
"38","Charlize Theron","8.00","Actress","36"
"39","Cate Blanchett","7.85","Actress, Producer","43"
"40","Jodie Foster","7.78","Actor, Director, Producer, Singer (Cameo)","49"
"40","Hugh Jackman","7.78","Actor, Producer, Singer (Cameo)","43"
"40","Keira Knightley","7.78","Actress, Singer (Cameo)","27"
"40","Gwyneth Paltrow","7.78","Actress, Director, Singer (Cameo), Writer","39"
"44","Drew Barrymore","7.76","Actress, Director, Producer","37"
"44","Sean Penn","7.76","Actor, Director, Producer, Writer","51"
"46","Daniel Craig","7.73","Actor, Producer, Singer (Cameo)","44"
"47","Cameron Diaz","7.72","Actress, Model, Producer, Singer (Cameo)","39"
"48","Mark Wahlberg","7.68","Actor, Producer, Rapper, Singer (Cameo)","41"
"49","Eddie Murphy","7.66","Actor, Director, Producer, Singer (Cameo), Voice (Animated project), Writer","51"
"50","Sacha Baron Cohen","7.64","Actor, Producer, Writer","40"
"51","Kate Winslet","7.63","Actress","36"
"52","Jake Gyllenhaal","7.61","Actor, Singer (Cameo)","31"
"53","Jack Black","7.60","Actor, Composer, Producer, Writer","42"
"53","Sandra Bullock","7.60","Actress, Director, Producer, Singer (Cameo), Writer","47"
"55","Jennifer Aniston","7.58","Actress, Producer","43"
"55","Halle Berry","7.58","Actress, Fragrance, Producer","45"
"55","Hugh Grant","7.58","Actor, Singer (Cameo)","51"
"55","Matthew McConaughey","7.58","Actor, Director, Producer, Singer (Cameo), Writer","42"
"59","Robert Redford","7.56","Actor","75"
"60","Edward Norton","7.55","Actor, Director, Producer, Singer (Cameo), Writer","42"
"61","Michael Douglas","7.52","Actor, Director, Producer","67"
"62","Richard Gere","7.50","Actor, Producer, Singer (Cameo)","62"
"62","Dustin Hoffman","7.50","Actor, Director, Producer, Singer (Cameo)","74"
"62","Renee Zellweger","7.50","Actress","43"
"65","Anthony Hopkins","7.45","Actor, Director, Producer, Writer","74"
"65","Clive Owen","7.45","Actor","47"
"65","Robin Williams","7.45","Actor, Comedian","61"
"68","Hilary Swank","7.43","Actress, Producer","37"
"69","Jamie Foxx","7.42","Actor, Composer, Director, Producer, Singer, Writer","44"
"70","Woody Allen","7.39","Actor, Comedian, Director, Musician, Writer","76"
"70","Penelope Cruz","7.39","Actress, Dancer, Producer, Singer (Cameo)","38"
"72","Pierce Brosnan","7.37","Actor, Producer, Singer (Cameo)","59"
"72","Dwayne Johnson","7.37","Actor, Singer (Cameo)","40"
"72","Ashton Kutcher","7.37","Actor, Model, Producer, Singer (Cameo), Writer","34"
"75","Philip Seymour Hoffman","7.35","Actor, Producer","45"
"75","Bill Murray","7.35","Actor, Director, Producer, Singer (Cameo), Writer","61"
"77","Ben Affleck","7.34","Actor, Director, Producer, Writer","39"
"77","Scarlett Johansson","7.34","Actress, Director, Singer (Cameo)","27"
"79","Jude Law","7.29","Actor, Director, Producer, Singer (Cameo)","39"
"80","Colin Farrell","7.27","Actor, Singer (Cameo)","36"
"80","Anne Hathaway","7.27","Actress, Singer (Cameo)","29"
"80","Kate Hudson","7.27","Actress, Director, Producer, Singer (Cameo), Writer","33"
"80","Mike Myers","7.27","Actor, Producer, Singer (Cameo), Writer","49"
"80","Natalie Portman","7.27","Actress, Director, Producer, Singer (Cameo), Writer","31"
"85","Seth Rogen","7.24","Actor, Producer, Writer","30"
"85","Owen Wilson","7.24","Actor","43"
"85","Catherine Zeta-Jones","7.24","Actress","42"
"88","Samuel L. Jackson","7.23","Actor, Producer, Singer (Cameo)","63"
"88","James McAvoy","7.23","Actor","33"
"90","Tommy Lee Jones","7.19","Actor, Director, Producer, Singer (Cameo), Writer","65"
"90","Forest Whitaker","7.19","Actor","51"
"92","Tyler Perry","7.18","Actor, Composer, Director, Producer, Writer","42"
"93","Steve Martin","7.17","Actor, Director, Producer, Singer (Cameo), Writer","66"
"94","Javier Bardem","7.16","Actor, Producer","43"
"94","Viggo Mortensen","7.16","Actor, Singer (Cameo)","53"
"96","Helen Mirren","7.15","Actress, Director, Producer, Singer (Cameo)","67"
"96","Kevin Spacey","7.15","Actor","62"
"98","Jennifer Lopez","7.14","Actress, Musician, Producer","43"
"98","Uma Thurman","7.14","Actress","42"
"100","Naomi Watts","7.13","Actress","43"
"101","Kevin Costner","7.11","Actor, Director, Musician, Producer, Singer","57"
"102","Eric Bana","7.08","Actor, Producer, Writer","43"
"103","Sarah Jessica Parker","7.06","Actress, Producer, Singer (Cameo)","47"
"104","Joaquin Phoenix","7.01","Actor, Musician, Producer, Rapper","37"
"105","Ewan McGregor","6.99","Actor, Director, Producer, Singer (Cameo)","41"
"106","John Cusack","6.98","Actor, Producer, Writer","46"
"106","Jet Li","6.98","Actor, Director, Producer, Writer","49"
"108","Jessica Alba","6.97","Actress","31"
"108","Michelle Pfeiffer","6.97","Actress, Producer, Singer (Cameo)","54"
"110","Demi Moore","6.94","Actress, Director, Producer, Singer (Cameo)","49"
"111","Dennis Quaid","6.93","Actor, Director, Producer, Singer (Cameo), Writer","58"
"111","Sylvester Stallone","6.93","Actor","66"
"113","Brendan Fraser","6.92","Actor, Producer, Singer (Cameo)","43"
"114","Kate Beckinsale","6.88","Actress","39"
"114","Jennifer Garner","6.88","Actress, Director, Producer","40"
"114","Julianne Moore","6.88","Actress, Producer","51"
"114","Rachel Weisz","6.88","Actress","41"
"118","Katherine Heigl","6.86","Actress, Producer","33"
"119","Morgan Freeman","6.85","Actor, Producer, Singer (Cameo)","75"
"120","Liam Neeson","6.82","Actor","60"
"121","Rachel McAdams","6.80","Actress, Singer (Cameo)","33"
"122","Martin Lawrence","6.79","Actor, Director, Producer, Singer (Cameo), Writer","47"
"123","Salma Hayek","6.75","Actress, Director, Producer, Singer (Cameo)","45"
"124","Jennifer Connelly","6.74","Actress","41"
"125","Paul Giamatti","6.73","Actor, Producer, Singer (Cameo)","45"
"126","Emma Thompson","6.67","Actress","53"
"127","Antonio Banderas","6.66","Actor, Director, Musician, Producer, Voice (Animated project)","51"
"128","Orlando Bloom","6.65","Actor, Producer","35"
"128","Susan Sarandon","6.65","Actress, Producer, Singer (Cameo)","65"
"130","Don Cheadle","6.64","Actor, Producer, Singer (Cameo)","47"
"130","Kiefer Sutherland","6.64","Actor","45"
"132","Tim Robbins","6.60","Actor, Director, Producer, Singer (Cameo), Writer","53"
"132","Billy Bob Thornton","6.60","Actor, Musician, Writer","56"
"134","Ice Cube","6.57","Actor, Composer, Director, Producer, Rapper, Singer (Cameo), Writer","43"
"134","Benicio Del Toro","6.57","Actor, Director, Producer, Writer","45"
"134","Kirsten Dunst","6.57","Actress, Director, Singer (Cameo), Writer","30"
"134","Diane Lane","6.57","Actress","47"
"138","Vin Diesel","6.56","Actor, Director, Producer, Writer","45"
"139","Ricky Gervais","6.53","Actor, Comedian, Director, Producer, Writer","51"
"139","Jason Statham","6.53","Actor","39"
"141","Tim Allen","6.52","Actor, Comedian, Producer","59"
"142","Josh Brolin","6.49","Actor, Director, Producer, Writer","44"
"143","Queen Latifah (Dana Elaine Owens)","6.45","Actress, Producer, Rapper, Singer","42"
"144","Robert Duvall","6.42","Actor, Director, Producer, Singer (Cameo), Writer","81"
"145","Ethan Hawke","6.37","Actor, Director, Singer (Cameo), Writer","41"
"146","Matthew Broderick","6.36","Actor, Director, Producer, Singer (Cameo), Stage Performer (Musical), Writer","50"
"147","Diane Keaton","6.34","Actress, Director, Producer, Singer (Cameo), Writer","66"
"148","Michael Cera","6.33","Actor, Director, Producer, Singer (Cameo), Writer","24"
"149","Ryan Gosling","6.32","Actor, Musician, Producer","31"
"150","Jessica Biel","6.31","Actress, Producer","30"
"151","Annette Bening","6.29","Actress","54"
"152","Glenn Close","6.28","Actress, Producer, Singer (Cameo), Stage Performer (Musical), Stage Performer (Play)","65"
"153","Lindsay Lohan","6.26","Actress, Model, Musician","26"
"154","Ralph Fiennes","6.25","Actor, Director, Producer, Singer (Cameo)","49"
"155","Frances McDormand","6.24","Actress","55"
"155","Meg Ryan","6.24","Actress, Producer, Singer (Cameo)","50"
"157","Ed Harris","6.23","Actor, Director, Producer, Writer","61"
"158","Gerard Butler","6.21","Actor, Producer, Singer (Cameo)","42"
