"Id","Label","Score","Rank","Age","Profession","Spouses","Dated","Total","Spouses1400","Dated1400","Total1400","p1400"
"p1","Will Smith",10,1,43,"Actor, Composer, Director, Producer, Rapper, Writer",2,3,5,1,1,2,40
"p2","Johnny Depp",9.89,2,49,"Actor, Director, Producer, Singer (Cameo), Writer",2,4,6,0,1,1,16.7
"p3","Leonardo DiCaprio",9.89,2,37,"Actor, Producer, Writer",0,18,18,0,5,5,27.8
"p4","Angelina Jolie",9.89,2,37,"Actress, Director, Producer, Singer (Cameo)",3,8,11,3,5,8,72.7
"p5","Brad Pitt",9.89,2,48,"Actor, Producer",2,15,17,2,9,11,64.7
"p6","Tom Hanks",9.87,6,56,"Actor, Director, Producer, Singer (Cameo), Writer",2,0,2,1,0,1,50
"p7","George Clooney",9.81,7,51,"Actor, Director, Producer, Writer",1,15,16,0,7,7,43.8
"p8","Denzel Washington",9.76,8,57,"Actor",1,2,3,0,1,1,33.3
"p9","Matt Damon",9.69,9,41,"Actor, Producer, Singer (Cameo), Writer",1,7,8,0,4,4,50
"p10","Jack Nicholson",9.68,10,75,"Actor, Director, Producer, Singer (Cameo), Writer",1,14,15,0,3,3,20
"p11","Julia Roberts",9.65,11,44,"Actress, Producer",2,11,13,0,9,9,69.2
"p12","Adam Sandler",9.61,12,45,"Actor, Composer, Producer, Singer (Cameo), Writer",1,4,5,0,2,2,40
"p13","Tom Cruise",9.6,13,50,"Actor, Director, Producer, Writer",3,7,10,3,3,6,60
"p14","Russell Crowe",9.57,14,48,"Actor, Director, Musician, Producer, Singer, Writer",1,8,9,0,5,5,55.6
"p15","Ben Stiller",9.5,18,46,"Actor, Director, Producer, Writer",1,6,7,1,5,6,85.7
"p16","Jim Carrey",9.42,19,50,"Actor, Producer, Singer (Cameo), Writer",2,7,9,1,3,4,44.4
"p17","Clint Eastwood",9.33,20,82,"Actor, Composer, Director, Producer, Writer",3,0,3,1,0,1,33.3
"p18","Robert Downey Jr.",9.29,21,47,"Actor, Producer, Singer (Cameo), Writer",2,5,7,0,3,3,42.9
"p19","Nicole Kidman",9.27,22,45,"Actress, Producer, Singer (Cameo)",2,11,13,1,5,6,46.2
"p20","Bruce Willis",9.16,23,57,"Actor, Director, Musician, Producer",2,9,11,1,4,5,45.5
"p21","Nicolas Cage",9.02,24,48,"Actor, Director, Producer, Singer (Cameo)",4,10,14,1,3,4,28.6
"p22","Al Pacino",9,25,72,"Actor, Director, Producer, Writer",1,8,9,1,4,5,55.6
"p23","Harrison Ford",8.69,26,70,"Actor, Producer",3,3,6,1,3,4,66.7
"p24","Keanu Reeves",8.59,27,47,"Actor, Singer (Cameo)",0,12,12,0,6,6,50
"p25","Christian Bale",8.49,29,38,"Actor, Producer, Singer (Cameo)",1,1,2,0,1,1,50
"p26","Tobey Maguire",8.48,30,37,"Actor, Producer",1,5,6,0,3,3,50
"p27","John Travolta",8.47,31,58,"Actor",1,2,3,1,1,2,66.7
"p28","Vince Vaughn",8.39,32,42,"Actor",1,3,4,0,3,3,75
"p29","Shia LaBeouf",8.38,33,26,"Actor, Director, Producer, Singer (Cameo), Writer",0,10,10,0,4,4,40
"p30","Reese Witherspoon",8.24,34,36,"Actress, Producer",2,5,7,1,5,6,85.7
"p31","Daniel Day-Lewis",8.05,36,55,"Actor",2,1,3,0,1,1,33.3
"p32","Charlize Theron",8,38,36,"Actress",1,8,9,1,6,7,77.8
"p33","Jodie Foster",7.78,40,49,"Actor, Director, Producer, Singer (Cameo)",0,3,3,0,2,2,66.7
"p34","Keira Knightley",7.78,40,27,"Actress, Singer (Cameo)",0,6,6,0,2,2,33.3
"p35","Gwyneth Paltrow",7.78,40,39,"Actress, Director, Singer (Cameo), Writer",1,7,8,0,7,7,87.5
"p36","Drew Barrymore",7.76,44,37,"Actress, Director, Producer",3,15,18,0,10,10,55.6
"p37","Sean Penn",7.76,44,51,"Actor, Director, Producer, Writer",2,5,7,1,1,2,28.6
"p38","Daniel Craig",7.73,46,44,"Actor, Producer, Singer (Cameo)",2,5,7,1,2,3,42.9
"p39","Cameron Diaz",7.72,47,39,"Actress, Model, Producer, Singer (Cameo)",0,15,15,0,10,10,66.7
"p40","Mark Wahlberg",7.68,48,41,"Actor, Producer, Rapper, Singer (Cameo)",1,12,13,0,6,6,46.2
"p41","Eddie Murphy",7.66,49,51,"Actor, Director, Producer, Singer (Cameo), Voice (Animated project), Writer",2,6,8,0,2,2,25
"p42","Sacha Baron Cohen",7.64,50,40,"Actor, Producer, Writer",1,1,2,1,0,1,50
"p43","Kate Winslet",7.63,51,36,"Actress",2,4,6,0,1,1,16.7
"p44","Jake Gyllenhaal",7.61,52,31,"Actor, Singer (Cameo)",0,5,5,0,4,4,80
"p45","Sandra Bullock",7.6,53,47,"Actress, Director, Producer, Singer (Cameo), Writer",1,10,11,0,6,6,54.5
"p46","Jennifer Aniston",7.58,55,43,"Actress, Producer",2,5,7,2,2,4,57.1
"p47","Halle Berry",7.58,55,45,"Actress, Fragrance, Producer",4,10,14,1,5,6,42.9
"p48","Matthew McConaughey",7.58,55,42,"Actor, Director, Producer, Singer (Cameo), Writer",1,11,12,0,6,6,50
"p49","Robert Redford",7.56,59,75,"Actor",2,2,4,0,2,2,50
"p50","Edward Norton",7.55,60,42,"Actor, Director, Producer, Singer (Cameo), Writer",0,9,9,0,7,7,77.8
"p51","Michael Douglas",7.52,61,67,"Actor, Director, Producer",2,2,4,1,0,1,25
"p52","Richard Gere",7.5,62,62,"Actor, Producer, Singer (Cameo)",2,2,4,0,2,2,50
"p53","Renée Zellweger",7.5,62,43,"Actress",1,10,11,0,3,3,27.3
"p54","Clive Owen",7.45,65,47,"Actor",1,2,3,0,2,2,66.7
"p55","Hilary Swank",7.43,68,37,"Actress, Producer",1,3,4,0,1,1,25
"p56","Jamie Foxx",7.42,69,44,"Actor, Composer, Director, Producer, Singer, Writer",0,4,4,0,2,2,50
"p57","Woody Allen",7.39,70,76,"Actor, Comedian, Director, Musician, Writer",4,2,6,0,1,1,16.7
"p58","Penélope Cruz",7.39,70,38,"Actress, Dancer, Producer, Singer (Cameo)",1,8,9,1,6,7,77.8
"p59","Ashton Kutcher",7.37,72,34,"Actor, Model, Producer, Singer (Cameo), Writer",1,9,10,1,5,6,60
"p60","Ben Affleck",7.34,77,39,"Actor, Director, Producer, Writer",1,11,12,1,7,8,66.7
"p61","Scarlett Johansson",7.34,77,27,"Actress, Director, Singer (Cameo)",1,7,8,1,6,7,87.5
"p62","Jude Law",7.29,79,39,"Actor, Director, Producer, Singer (Cameo)",1,9,10,0,4,4,40
"p63","Colin Farrell",7.27,80,36,"Actor, Singer (Cameo)",3,14,17,0,8,8,47.1
"p64","Anne Hathaway",7.27,80,29,"Actress, Singer (Cameo)",0,6,6,0,3,3,50
"p65","Kate Hudson",7.27,80,33,"Actress, Director, Producer, Singer (Cameo), Writer",2,6,8,0,3,3,37.5
"p66","Natalie Portman",7.27,80,31,"Actress, Director, Producer, Singer (Cameo), Writer",1,10,11,0,5,5,45.5
"p67","Owen Wilson",7.24,85,43,"Actor",0,7,7,0,3,3,42.9
"p68","Catherine Zeta-Jones",7.24,85,42,"Actress",1,4,5,1,1,2,40
"p69","Steve Martin",7.17,93,66,"Actor, Director, Producer, Singer (Cameo), Writer",2,6,8,0,2,2,25
"p70","Javier Bardem",7.16,94,43,"Actor, Producer",1,2,3,1,1,2,66.7
