rank,name,Spouse (or domestic partner) - Spouse,Breakup - Participant,Dated - Participant,Canoodled - Participant,score,profession,age
1,Will Smith,Jada Pinkett Smith,Sheree Zampino,Jada Pinkett Smith,Will Smith,10,"Actor, Composer, Director, Producer, Rapper, Writer",43
,,Will Smith,Will Smith,Will Smith,Nia Long,,,
,,Sheree Zampino,,Will Smith,,,,
,,Will Smith,,Garcelle Beauvais,,,,
,,,,Will Smith,,,,
,,,,Tyra Banks,,,,
2,Johnny Depp,Lori Anne Allison,Johnny Depp,Johnny Depp,,9.89,"Actor, Director, Producer, Singer (Cameo), Writer",49
,,Johnny Depp,Kate Moss,Kate Moss,,,,
,,Johnny Depp,,Johnny Depp,,,,
,,Vanessa Paradis,,Kate Moss,,,,
,,,,Vanessa Paradis,,,,
,,,,Johnny Depp,,,,
,,,,Johnny Depp,,,,
,,,,Jennifer Grey,,,,
,,,,Johnny Depp,,,,
,,,,Sherilyn Fenn,,,,
,,,,Johnny Depp,,,,
,,,,Ellen Barkin,,,,
,,,,Johnny Depp,,,,
,,,,Kate Moss,,,,
2,Leonardo DiCaprio,,Leonardo DiCaprio,Leonardo DiCaprio,Christiana Reynolds,9.89,"Actor, Producer, Writer",37
,,,Gisele Bündchen,Demi Moore,Leonardo DiCaprio,,,
,,,Leonardo DiCaprio,Bar Refaeli,Kendra Jade,,,
,,,Demi Moore,Leonardo DiCaprio,Leonardo DiCaprio,,,
,,,Bar Refaeli,Leonardo DiCaprio,Linnea Dietrichson,,,
,,,Leonardo DiCaprio,Gisele Bündchen,Leonardo DiCaprio,,,
,,,,Leonardo DiCaprio,Sienna Miller,,,
,,,,Michelle Wild,Leonardo DiCaprio,,,
,,,,Leonardo DiCaprio,Monica Hansen,,,
,,,,Bar Refaeli,Leonardo DiCaprio,,,
,,,,Leonardo DiCaprio,Leonardo DiCaprio,,,
,,,,Felicitas Woll,Heather Graham,,,
,,,,Leonardo DiCaprio,Liv Tyler,,,
,,,,Naomi Campbell,Leonardo DiCaprio,,,
,,,,Leonardo DiCaprio,Leonardo DiCaprio,,,
,,,,Vanessa Hayden,Lindsay Lohan,,,
,,,,Leonardo DiCaprio,Trishelle Cannatella,,,
,,,,Mariah Carey,Leonardo DiCaprio,,,
,,,,Gisele Bündchen,Bobbie Brown,,,
,,,,Leonardo DiCaprio,Leonardo DiCaprio,,,
2,Angelina Jolie,Angelina Jolie,,Angelina Jolie,Angelina Jolie,9.89,"Actress, Director, Producer, Singer (Cameo)",37
,,Billy Bob Thornton,,Brad Pitt,Angelina Jolie,,,
,,Jonny Lee Miller,,Angelina Jolie,Clive Owen,,,
,,Angelina Jolie,,Billy Bob Thornton,Angelina Jolie,,,
,,Brad Pitt,,Jonny Lee Miller,Brad Pitt,,,
,,Angelina Jolie,,Angelina Jolie,Angelina Jolie,,,
,,,,Angelina Jolie,Jared Leto,,,
,,,,Clive Owen,Daniele Patini,,,
,,,,Michel Comte,Angelina Jolie,,,
,,,,Angelina Jolie,,,,
,,,,Val Kilmer,,,,
,,,,Angelina Jolie,,,,
,,,,Angelina Jolie,,,,
,,,,Winona Ryder,,,,
,,,,Angelina Jolie,,,,
,,,,Michel Comte,,,,
,,,,Angelina Jolie,,,,
,,,,Olivier Martinez,,,,
,,,,Angelina Jolie,,,,
,,,,Misty Cooper,,,,
2,Brad Pitt,Brad Pitt,Jennifer Aniston,Angelina Jolie,Julia Ormond,9.89,"Actor, Producer",48
,,Jennifer Aniston,Brad Pitt,Brad Pitt,Brad Pitt,,,
,,Brad Pitt,,Gwyneth Paltrow,Angelina Jolie,,,
,,Angelina Jolie,,Geena Davis,Brad Pitt,,,
,,,,Juliette Lewis,Brad Pitt,,,
,,,,Brad Pitt,Lisa Davis,,,
,,,,Thandie Newton,Brad Pitt,,,
,,,,Jill Schoelen,Uma Thurman,,,
,,,,Sonita Henry,Brad Pitt,,,
,,,,Shalane McCall,Demi Moore,,,
,,,,Brad Pitt,Brad Pitt,,,
,,,,Brad Pitt,Sinitta,,,
,,,,Robin Givens,,,,
,,,,Brad Pitt,,,,
,,,,Geena Davis,,,,
,,,,Brad Pitt,,,,
,,,,Sinitta,,,,
,,,,Brad Pitt,,,,
,,,,Christina Applegate,,,,
,,,,Thandie Newton,,,,
,,,,Brad Pitt,,,,
,,,,Brad Pitt,,,,
,,,,Felicitas Woll,,,,
,,,,Brad Pitt,,,,
,,,,Jill Schoelen,,,,
6,Tom Hanks,Samantha Lewes,Samantha Lewes,Rita Wilson,,9.87,"Actor, Director, Producer, Singer (Cameo), Writer",56
,,Tom Hanks,Tom Hanks,Tom Hanks,,,,
,,Rita Wilson,,,,,,
,,Tom Hanks,,,,,,
7,George Clooney,George Clooney,Sarah Larson,Fatima Bhutto,Renée Zellweger,9.81,"Actor, Director, Producer, Writer",51
,,Talia Balsam,George Clooney,George Clooney,George Clooney,,,
,,,Krista Allen,Julia Roberts,Ellen Barkin,,,
,,,George Clooney,George Clooney,George Clooney,,,
,,,,George Clooney,George Clooney,,,
,,,,Lisa Snowdon,Teri Hatcher,,,
,,,,George Clooney,Teri Hatcher,,,
,,,,George Clooney,George Clooney,,,
,,,,Traylor Howard,George Clooney,,,
,,,,George Clooney,Charlize Theron,,,
,,,,Jennifer Siebel,,,,
,,,,George Clooney,,,,
,,,,Brooke Langton,,,,
,,,,George Clooney,,,,
,,,,Cerlette Lamme,,,,
,,,,George Clooney,,,,
,,,,Kelly Preston,,,,
,,,,George Clooney,,,,
,,,,Judie Aronson,,,,
8,Denzel Washington,Denzel Washington,,Pauletta Washington,,9.76,Actor,57
,,Pauletta Pearson Washington,,Denzel Washington,,,,
,,,,Denzel Washington,,,,
,,,,Sanaa Lathan,,,,
9,Matt Damon,Luciana Barroso,,Matt Damon,,9.69,"Actor, Producer, Singer (Cameo), Writer",41
,,Matt Damon,,Meg Ryan,,,,
,,,,Matt Damon,,,,
,,,,Claire Danes,,,,
,,,,Matt Damon,,,,
,,,,Winona Ryder,,,,
,,,,Luciana Barroso,,,,
,,,,Matt Damon,,,,
,,,,Matt Damon,,,,
,,,,Odessa Whitmire,,,,
,,,,Matt Damon,,,,
,,,,Kara Sands,,,,
,,,,Matt Damon,,,,
,,,,Bridget Hall,,,,
,,,,Matt Damon,,,,
,,,,Claire Danes,,,,
,,,,Penélope Cruz,,,,
,,,,Matt Damon,,,,
,,,,Winona Ryder,,,,
,,,,Matt Damon,,,,
10,Jack Nicholson,Jack Nicholson,,Jack Nicholson,Sylvia Tamsma,9.68,"Actor, Director, Producer, Singer (Cameo), Writer",75
,,Sandra Knight,,Jessica Lange,Jack Nicholson,,,
,,,,Jack Nicholson,Kate Moss,,,
,,,,Tracy Richman,Jack Nicholson,,,
,,,,Jack Nicholson,Jack Nicholson,,,
,,,,Rachel Ward,Michelle Phillips,,,
,,,,Jack Nicholson,Heidi von Beltz,,,
,,,,Winnie Hollman,Jack Nicholson,,,
,,,,Jack Nicholson,,,,
,,,,Sabrina Guinness,,,,
,,,,Jack Nicholson,,,,
,,,,Lara Flynn Boyle,,,,
,,,,Jack Nicholson,,,,
,,,,Karen Mayo-Chandler,,,,
,,,,Jack Nicholson,,,,
,,,,Susan Anspach,,,,
,,,,Joni Mitchell,,,,
,,,,Jack Nicholson,,,,
,,,,Jack Nicholson,,,,
,,,,Anjelica Huston,,,,
11,Julia Roberts,Julia Roberts,Julia Roberts,Julia Roberts,,9.65,"Actress, Producer",44
,,Lyle Lovett,Benjamin Bratt,Talisa Soto,,,,
,,Julia Roberts,,Monica McClure,,,,
,,Daniel Moder,,Jennifer Esposito,,,,
,,,,Benjamin Bratt,,,,
,,,,Richard Gere,,,,
,,,,Julia Roberts,,,,
,,,,Liam Neeson,,,,
,,,,Julia Roberts,,,,
,,,,Lyle Lovett,,,,
,,,,Julia Roberts,,,,
,,,,Ethan Hawke,,,,
,,,,Julia Roberts,,,,
,,,,Kiefer Sutherland,,,,
,,,,Julia Roberts,,,,
,,,,Jason Patric,,,,
,,,,Julia Roberts,,,,
,,,,Dylan McDermott,,,,
,,,,Julia Roberts,,,,
,,,,Julia Roberts,,,,
,,,,Liam Neeson,,,,
,,,,Julia Roberts,,,,
,,,,George Clooney,,,,
12,Adam Sandler,Jackie Sandler,,Jackie Sandler,Emmanuelle Chriqui,9.61,"Actor, Composer, Producer, Singer (Cameo), Writer",45
,,Adam Sandler,,Adam Sandler,Adam Sandler,,,
,,,,Juliette Lewis,Adam Sandler,,,
,,,,Adam Sandler,Angie Everhart,,,
,,,,Adam Sandler,,,,
,,,,Juliette Lewis,,,,
,,,,Adam Sandler,,,,
,,,,Margaret Ruden,,,,
13,Tom Cruise,Katie Holmes,Mimi Rogers,Penélope Cruz,Tom Cruise,9.6,"Actor, Director, Producer, Writer",50
,,Tom Cruise,Tom Cruise,Tom Cruise,Diane Lane,,,
